165878	16:39:43.505	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 45 	
165879	16:39:43.505	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 03 	
165880	16:39:43.505	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 46 	
165881	16:39:43.505	0.00000279	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 39 	
165882	16:39:43.515	0.00304173	Gppw.exe	IOCTL_SERIAL_CLR_DTR                	COM9	SUCCESS		
165883	16:39:43.515	0.00197539	Gppw.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
165884	16:39:43.515	0.00197371	Gppw.exe	IOCTL_SERIAL_SET_DTR                	COM9	SUCCESS		
165885	16:39:43.515	0.00198908	Gppw.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
165886	16:39:43.515	0.00000307	Gppw.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXCLEAR RXCLEAR	
165887	16:39:43.515	0.00212317	Gppw.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 11, Data: 02 30 30 45 43 41 30 32 03 38 45 	
165888	16:39:43.525	0.04334350	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 02 	
165889	16:39:43.565	0.00000615	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 46 	
165890	16:39:43.565	0.00000391	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 36 	
165891	16:39:43.565	0.00000391	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 35 	
165892	16:39:43.565	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 45 	
165893	16:39:43.565	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 03 	
165894	16:39:43.565	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 46 	
165895	16:39:43.575	0.00000587	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 39 	
